#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	S    	P    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
23        	9         	ok              	5.9636233200e-03	8.0000000000e+02	1.0074002944e+17	5.3992880095e+16	2.3134000017e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
24        	10        	ok              	3.9069399400e-03	8.0000000000e+02	6.5987493612e+16	3.5372277624e+16	2.3130433203e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
25        	10        	ok              	2.5595479200e-03	8.0000000000e+02	4.3224280713e+16	2.3173389151e+16	2.3127217176e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
26        	9         	ok              	1.6768329400e-03	8.0000000000e+02	2.8314415061e+16	1.5181549037e+16	2.3124729431e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
27        	8         	ok              	1.0985411400e-03	8.0000000000e+02	1.8548234415e+16	9.9458662743e+15	2.3123049833e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
28        	6         	ok              	7.1968567300e-04	8.0000000000e+02	1.2150955243e+16	6.5158210308e+15	2.3122054953e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
29        	5         	ok              	4.7148663600e-04	8.0000000000e+02	7.9602578708e+15	4.2687004255e+15	2.3121532400e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
30        	5         	ok              	3.0888436000e-04	8.0000000000e+02	5.2149357712e+15	2.7965475547e+15	2.3121281949e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
31        	4         	ok              	2.0235896500e-04	8.0000000000e+02	3.4164365748e+15	1.8320981637e+15	2.3121168446e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
32        	4         	ok              	1.3257113700e-04	8.0000000000e+02	2.2382003309e+15	1.2002598286e+15	2.3121118481e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
33        	4         	ok              	8.6851137400e-05	8.0000000000e+02	1.4663075719e+15	7.8632448700e+14	2.3121096778e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
34        	4         	ok              	5.6898660300e-05	8.0000000000e+02	9.6061957390e+14	5.1514362633e+14	2.3121087404e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
35        	4         	ok              	3.7275937200e-05	8.0000000000e+02	6.2932920491e+14	3.3748530041e+14	2.3121083360e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
36        	4         	ok              	2.4420530900e-05	8.0000000000e+02	4.1229150193e+14	2.2109625742e+14	2.3121081614e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
37        	4         	ok              	1.5998587200e-05	8.0000000000e+02	2.7010392839e+14	1.4484647236e+14	2.3121080857e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
38        	4         	ok              	1.0481131300e-05	8.0000000000e+02	1.7695279353e+14	9.4893060003e+13	2.3121080526e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
39        	4         	ok              	6.8664884500e-06	8.0000000000e+02	1.1592682798e+14	6.2167153702e+13	2.3121080378e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
