#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	S    	P    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
0         	4         	ok              	1.0533907600e+02	1.7096219286e+03	8.8564205206e+20	4.4627822984e+20	2.0946874622e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
1         	4         	ok              	7.1228625400e+01	1.6929058842e+03	6.0474052038e+20	3.0474600824e+20	2.0945838431e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
2         	4         	ok              	4.8163675700e+01	1.6744069521e+03	4.1341227397e+20	2.0834106599e+20	2.0944750445e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
3         	4         	ok              	3.2567519600e+01	1.6545727385e+03	2.8288049796e+20	1.4256571474e+20	2.0943758319e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
4         	4         	ok              	2.2021644300e+01	1.6336711867e+03	1.9371930375e+20	9.7634064884e+19	2.0942968230e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
5         	4         	ok              	1.4890689400e+01	1.6180488773e+03	1.3225071103e+20	6.6656030258e+19	2.0942343354e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
6         	3         	ok              	1.0068849800e+01	1.6060965179e+03	9.0089500240e+19	4.5407176635e+19	2.0941914601e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
7         	3         	ok              	6.8083978200e+00	1.5963945291e+03	6.1286538716e+19	3.0890217781e+19	2.0941646757e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
8         	3         	ok              	4.6037314800e+00	1.5876726748e+03	4.1668326917e+19	2.1002224256e+19	2.0941485085e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
9         	3         	ok              	3.1129707800e+00	1.5787252574e+03	2.8335017177e+19	1.4281859752e+19	2.0941385987e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
10        	3         	ok              	2.1049418600e+00	1.5683028552e+03	1.9286964470e+19	9.7213470726e+18	2.0941324051e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
11        	3         	ok              	1.4233285600e+00	1.5549962272e+03	1.3153120487e+19	6.6296728963e+18	2.0941288635e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
12        	3         	ok              	9.6243237700e-01	1.5371299056e+03	8.9973044576e+18	4.5349857787e+18	2.0941278505e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
13        	3         	ok              	6.5078162900e-01	1.5126949217e+03	6.1821148503e+18	3.1160198292e+18	2.0941296305e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
14        	3         	ok              	4.4004829700e-01	1.4793702265e+03	4.2744235628e+18	2.1544665101e+18	2.0941342173e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
15        	3         	ok              	2.9755373400e-01	1.4346988796e+03	2.9803007099e+18	1.5021763574e+18	2.0941407572e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
16        	3         	ok              	2.0120115300e-01	1.3764710629e+03	2.1004880044e+18	1.0587164384e+18	2.0941474380e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
