#The solar chemical composition K.Lodders 2009:
C	7.9148
H   12.00          
He	9.9552
N	7.6907
O	9.0089
S	7.4770
P	5.4193
Si	7.5002
Ti	4.8929
V	3.9572
Cl	5.2137
K	5.0754
Na	6.2614
Mg	7.5130
F	4.4054
Ca	6.2812
Fe	7.4286
e-  0
