#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	S    	P    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
23        	4         	ok              	5.9636233200e-03	1.5481231533e+03	5.2019097831e+16	2.7901077498e+16	2.3116761649e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
24        	4         	ok              	3.9069399400e-03	1.5157299510e+03	3.4808484162e+16	1.8669435199e+16	2.3117405239e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
25        	4         	ok              	2.5595479200e-03	1.4840145498e+03	2.3291960795e+16	1.2492270594e+16	2.3117976725e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
26        	4         	ok              	1.6768329400e-03	1.4529627672e+03	1.5585678171e+16	8.3589473202e+15	2.3118479682e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
27        	4         	ok              	1.0985411400e-03	1.4225607176e+03	1.0429035545e+16	5.5932185676e+15	2.3118918369e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
28        	4         	ok              	7.1968567300e-04	1.3927948059e+03	6.9784902393e+15	3.7425877828e+15	2.3119297547e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
29        	4         	ok              	4.7148663600e-04	1.3636517214e+03	4.6695795636e+15	2.5042760456e+15	2.3119622302e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
30        	4         	ok              	3.0888436000e-04	1.3351184319e+03	3.1245908824e+15	1.6756850855e+15	2.3119897882e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
31        	4         	ok              	2.0235896500e-04	1.3071821780e+03	2.0907770148e+15	1.1212503931e+15	2.3120129551e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
32        	4         	ok              	1.3257113700e-04	1.2798304673e+03	1.3990123417e+15	7.5026176315e+14	2.3120322465e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
33        	4         	ok              	8.6851137400e-05	1.2530510685e+03	9.3612692588e+14	5.0202230811e+14	2.3120481566e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
34        	4         	ok              	5.6898660300e-05	1.2268320066e+03	6.2639370103e+14	3.3591795685e+14	2.3120611503e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
35        	4         	ok              	3.7275937200e-05	1.2011615571e+03	4.1914043471e+14	2.2477262841e+14	2.3120716577e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
36        	4         	ok              	2.4420530900e-05	1.1760282405e+03	2.8046026679e+14	1.5040200554e+14	2.3120800693e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
37        	4         	ok              	1.5998587200e-05	1.1514208179e+03	1.8766479117e+14	1.0063842523e+14	2.3120867349e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
38        	4         	ok              	1.0481131300e-05	1.1273282853e+03	1.2557233908e+14	6.7340143056e+13	2.3120919627e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
39        	4         	ok              	6.8664884500e-06	1.1037398691e+03	8.4024309465e+13	4.5059279230e+13	2.3120960201e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
40        	4         	ok              	4.4984326700e-06	1.0806450212e+03	5.6223223458e+13	3.0150494862e+13	2.3120991361e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
41        	4         	ok              	2.9470517000e-06	1.0580334139e+03	3.7620658222e+13	2.0174586783e+13	2.3121015038e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
42        	4         	ok              	1.9306977300e-06	1.0358949358e+03	2.5173113205e+13	1.3499412025e+13	2.3121032837e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
43        	4         	ok              	1.2648552200e-06	1.0142196872e+03	1.6844083375e+13	9.0328553972e+12	2.3121046074e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
44        	4         	ok              	8.2864277300e-07	9.9299797537e+02	1.1270878509e+13	6.0441503770e+12	2.3121055815e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
45        	4         	ok              	5.4286754400e-07	9.7222031035e+02	7.5416800830e+12	4.0443195707e+12	2.3121062908e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
46        	4         	ok              	3.5564803100e-07	9.5187740085e+02	5.0463620570e+12	2.7061737029e+12	2.3121068019e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
47        	4         	ok              	2.3299518100e-07	9.3196014999e+02	3.3766704581e+12	1.8107807669e+12	2.3121071666e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
48        	4         	ok              	1.5264179700e-07	9.1245965121e+02	2.2594302124e+12	1.2116469070e+12	2.3121074245e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
49        	4         	ok              	1.0000000000e-07	8.9336718430e+02	1.5118516177e+12	8.1074873790e+11	2.3121076053e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
