#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	S    	P    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
23        	4         	ok              	5.9636233200e-03	1.2124639104e+03	6.6432406238e+16	3.5625228681e+16	2.3121045962e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
24        	4         	ok              	3.9069399400e-03	1.1895561073e+03	4.4359896530e+16	2.3788556022e+16	2.3121052410e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
25        	4         	ok              	2.5595479200e-03	1.1692635784e+03	2.9565800791e+16	1.5855031887e+16	2.3121056829e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
26        	4         	ok              	1.6768329400e-03	1.1522413033e+03	1.9655550472e+16	1.0540534517e+16	2.3121059480e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
27        	4         	ok              	1.0985411400e-03	1.1386864314e+03	1.3030199221e+16	6.9876067724e+15	2.3121060668e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
28        	4         	ok              	7.1968567300e-04	1.1283867625e+03	8.6143745225e+15	4.6195657356e+15	2.3121060632e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
29        	4         	ok              	4.7148663600e-04	1.1208639181e+03	5.6813998086e+15	3.0467216273e+15	2.3121059507e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
30        	4         	ok              	3.0888436000e-04	1.1155389431e+03	3.7398139376e+15	2.0055221359e+15	2.3121057329e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
31        	4         	ok              	2.0235896500e-04	1.1118577195e+03	2.4581704018e+15	1.3182248998e+15	2.3121054053e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
32        	4         	ok              	1.3257113700e-04	1.1093559398e+03	1.6140490737e+15	8.6555435313e+14	2.3121049559e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
33        	4         	ok              	8.6851137400e-05	1.1076759573e+03	1.0590131121e+15	5.6790940117e+14	2.3121043663e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
34        	4         	ok              	5.6898660300e-05	1.1065570547e+03	6.9449103481e+14	3.7242987093e+14	2.3121036104e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
35        	4         	ok              	3.7275937200e-05	1.1058159686e+03	4.5528563620e+14	2.4415295854e+14	2.3121026545e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
36        	4         	ok              	2.4420530900e-05	1.1053269417e+03	2.9840242957e+14	1.6002234204e+14	2.3121014553e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
37        	4         	ok              	1.5998587200e-05	1.1050050381e+03	1.9554877641e+14	1.0486574621e+14	2.3120999582e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
38        	4         	ok              	1.0481131300e-05	1.1047934890e+03	1.2813401466e+14	6.8713699670e+13	2.3120980945e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
39        	4         	ok              	6.8664884500e-06	1.1046546122e+03	8.3954721798e+13	4.5021966517e+13	2.3120957786e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
40        	4         	ok              	4.4984326700e-06	1.1045635072e+03	5.5005603866e+13	2.9497608734e+13	2.3120929035e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
41        	4         	ok              	2.9470517000e-06	1.1045037690e+03	3.6037635263e+13	1.9325771018e+13	2.3120893358e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
42        	4         	ok              	1.9306977300e-06	1.1044646101e+03	2.3610075886e+13	1.2661313388e+13	2.3120849094e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
43        	4         	ok              	1.2648552200e-06	1.1044389462e+03	1.5467957654e+13	8.2949807295e+12	2.3120794178e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
44        	4         	ok              	8.2864277300e-07	1.1044221289e+03	1.0133625196e+13	5.4343614911e+12	2.3120726047e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
45        	4         	ok              	5.4286754400e-07	1.1044111096e+03	6.6388692241e+12	3.5602409230e+12	2.3120641540e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
46        	4         	ok              	3.5564803100e-07	1.1044038898e+03	4.3493215441e+12	2.3324307479e+12	2.3120536781e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
47        	4         	ok              	2.3299518100e-07	1.1043992956e+03	2.8493606088e+12	1.5280483444e+12	2.3120407057e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
48        	4         	ok              	1.5264179700e-07	1.1043964217e+03	1.8666894180e+12	1.0010707138e+12	2.3120246698e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
49        	4         	ok              	1.0000000000e-07	1.1043946749e+03	1.2229130151e+12	6.5583104813e+11	2.3120048918e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
