#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	S    	P    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
0         	3         	ok              	1.3563515000e+02	9.7537289820e+02	2.0056295016e+21	1.0072049347e+21	2.1715567976e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
1         	3         	ok              	8.3372533700e+01	9.7263766120e+02	1.2362831709e+21	6.2085215821e+20	2.1715412866e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
2         	3         	ok              	5.1247625600e+01	9.6945192099e+02	7.6240836930e+20	3.8288094212e+20	2.1715120007e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
3         	3         	ok              	3.1501011300e+01	9.6932874376e+02	4.6868838893e+20	2.3538006706e+20	2.1714650363e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
4         	3         	ok              	1.9363115900e+01	9.7925649852e+02	2.8516537817e+20	1.4321716074e+20	2.1714011615e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
5         	3         	ok              	1.1902165700e+01	1.0029217944e+03	1.7114454775e+20	8.5955802646e+19	2.1713318191e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
6         	3         	ok              	7.3160513000e+00	1.0358177211e+03	1.0185491911e+20	5.1157543503e+19	2.1712541147e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
7         	4         	ok              	4.4970476600e+00	1.0702079237e+03	6.0590834668e+19	3.0435161112e+19	2.1710491663e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
8         	5         	ok              	2.7642558600e+00	1.0972337776e+03	3.6314816440e+19	1.8247162819e+19	2.1703352864e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
9         	7         	ok              	1.6991393100e+00	1.1054803418e+03	2.2142630452e+19	1.1132539386e+19	2.1690686434e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
10        	7         	ok              	1.0444309600e+00	1.0818413734e+03	1.3903844691e+19	6.9924992371e+18	2.1684069438e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
11        	6         	ok              	6.4199328200e-01	1.0205614603e+03	9.0629074100e+18	4.5562505335e+18	2.1691935107e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
12        	4         	ok              	3.9462194400e-01	9.2633887385e+02	6.1417681036e+18	3.0855146942e+18	2.1707216077e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
13        	3         	ok              	2.4256714700e-01	8.1012744172e+02	4.3177778618e+18	2.1686772005e+18	2.1712193965e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
14        	3         	ok              	1.4910174600e-01	6.8502610899e+02	3.1388149601e+18	1.5764924007e+18	2.1712616457e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
15        	3         	ok              	9.1650212600e-02	5.6354061332e+02	2.3453884593e+18	1.1779436989e+18	2.1713437303e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
16        	3         	ok              	5.6335768800e-02	4.5560478235e+02	1.7748450276e+18	8.9559617122e+17	2.1402908347e+00	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
17        	3         	ok              	3.4628603200e-02	3.6717138012e+02	1.3537430109e+18	6.8309708011e+17	2.1403183764e+00	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
18        	3         	ok              	2.1285591400e-02	2.9979767630e+02	1.0191252752e+18	5.1424933141e+17	2.1403185655e+00	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
19        	3         	ok              	1.3083877500e-02	2.5153102843e+02	7.4661430818e+17	3.7675686958e+17	2.1393394197e+00	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
20        	4         	ok              	8.0424286800e-03	2.1858490230e+02	1.8510208399e+18	2.6649148283e+17	1.8446933265e+01	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
21        	3         	ok              	4.9435390200e-03	1.9687980141e+02	7.0976625588e+19	1.8186665571e+17	2.3588917480e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
22        	3         	ok              	3.0387062200e-03	1.8292764774e+02	5.0200671557e+19	1.2031662525e+17	2.5989994897e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
23        	3         	ok              	1.8678391100e-03	1.7410467217e+02	3.2818150171e+19	7.7704347135e+16	2.6515946697e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
24        	3         	ok              	1.1481277400e-03	1.6858399038e+02	2.2066331432e+19	4.9327619534e+16	2.9218350810e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
25        	3         	ok              	7.0573386900e-04	1.6515273856e+02	1.4403044856e+19	3.0950769976e+16	3.0911948912e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
26        	3         	ok              	4.3380215800e-04	1.6302909108e+02	9.0458232229e+18	1.9272714050e+16	3.1407572939e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
27        	3         	ok              	2.6665053300e-04	1.6171818017e+02	5.6061296842e+18	1.1942627528e+16	3.1414475206e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
28        	3         	ok              	1.6390537900e-04	1.6091027888e+02	3.4653777219e+18	7.3777799155e+15	3.1445735365e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
29        	3         	ok              	1.0074974500e-04	1.6041287679e+02	2.1391655032e+18	4.5490530884e+15	3.1507689236e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
30        	3         	ok              	6.1929090500e-05	1.6010682972e+02	1.3200596339e+18	2.8015676940e+15	3.1630036712e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
