#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	S    	P    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
23        	4         	ok              	5.9636233200e-03	7.1900558931e+02	1.1212766946e+17	6.0075060219e+16	2.3142151657e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
24        	4         	ok              	3.9069399400e-03	6.8923118528e+02	7.6632156938e+16	4.1057083172e+16	2.3142384867e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
25        	3         	ok              	2.5595479200e-03	6.6068975517e+02	5.2372967521e+16	2.8059631885e+16	2.3142505095e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
26        	3         	ok              	1.6768329400e-03	6.3333024087e+02	3.5793332396e+16	1.9176787157e+16	2.3142562235e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
27        	3         	ok              	1.0985411400e-03	6.0710369861e+02	2.4462254599e+16	1.3105986733e+16	2.3142587409e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
28        	3         	ok              	7.1968567300e-04	5.8196321142e+02	1.6718239950e+16	8.9570212040e+15	2.3142597743e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
29        	3         	ok              	4.7148663600e-04	5.5786380519e+02	1.1425744465e+16	6.1214947244e+15	2.3142601765e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
30        	3         	ok              	3.0888436000e-04	5.3476236818e+02	7.8086941935e+15	4.1836115944e+15	2.3142603359e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
31        	3         	ok              	2.0235896500e-04	5.1261757398e+02	5.3366940775e+15	2.8592046105e+15	2.3142604166e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
32        	3         	ok              	1.3257113700e-04	4.9138980749e+02	3.6472555941e+15	1.9540654858e+15	2.3142604843e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
33        	3         	ok              	8.6851137400e-05	4.7104109410e+02	2.4926430493e+15	1.3354664752e+15	2.3142605693e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
34        	3         	ok              	5.6898660300e-05	4.5153503176e+02	1.7015386970e+15	9.1269751421e+14	2.3065267706e+00	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
35        	3         	ok              	3.7275937200e-05	4.3283672584e+02	1.1628822908e+15	6.2376463042e+14	2.3065270308e+00	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
36        	3         	ok              	2.4420530900e-05	4.1491272672e+02	7.9474853592e+14	4.2629930235e+14	2.3065275774e+00	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
37        	3         	ok              	1.5998587200e-05	3.9773096994e+02	5.4315495899e+14	2.9134562467e+14	2.3065282890e+00	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
38        	3         	ok              	1.0481131300e-05	3.8126071885e+02	3.7120834118e+14	1.9911426551e+14	2.3065288291e+00	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
39        	3         	ok              	6.8664884500e-06	3.6547250962e+02	2.5369487865e+14	1.3608061250e+14	2.3065293310e+00	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
40        	3         	ok              	4.4984326700e-06	3.5033809853e+02	1.7338267494e+14	9.3001538500e+13	2.3065299742e+00	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
41        	3         	ok              	2.9470517000e-06	3.3583041146e+02	1.1849492386e+14	6.3560017793e+13	2.3065308783e+00	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
42        	3         	ok              	1.9306977300e-06	3.2192349543e+02	8.0983001808e+13	4.3438806898e+13	2.3065321867e+00	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
43        	3         	ok              	1.2648552200e-06	3.0859247220e+02	5.5346238878e+13	2.9687372834e+13	2.3065341201e+00	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
44        	3         	ok              	8.2864277300e-07	2.9581349373e+02	3.7825313729e+13	2.0289233637e+13	2.3065370362e+00	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
45        	3         	ok              	5.4286754400e-07	2.8356369955e+02	2.5850994849e+13	1.3866265797e+13	2.3065415228e+00	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
46        	3         	ok              	3.5564803100e-07	2.7182117588e+02	1.7667392702e+13	9.4766185240e+12	2.3065485511e+00	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
47        	3         	ok              	2.3299518100e-07	2.6056491635e+02	1.2074480108e+13	6.4766029854e+12	2.3065597093e+00	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
48        	3         	ok              	1.5264179700e-07	2.4977478452e+02	8.2518333401e+12	4.4263031444e+12	2.3057937032e+00	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
49        	3         	ok              	1.0000000000e-07	2.3943147780e+02	5.6396164113e+12	3.0250672293e+12	2.3058215285e+00	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
