#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	S    	P    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
23        	3         	ok              	5.9636233200e-03	6.9575930861e+02	1.1587561145e+17	6.2082251062e+16	2.3142471531e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
24        	3         	ok              	3.9069399400e-03	6.8608339098e+02	7.6983867079e+16	4.1245455685e+16	2.3142420051e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
25        	4         	ok              	2.5595479200e-03	6.7614706036e+02	5.1175354174e+16	2.7418164490e+16	2.3142359408e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
26        	4         	ok              	1.6768329400e-03	6.6647862030e+02	3.4012680881e+16	1.8222998997e+16	2.3142281271e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
27        	4         	ok              	1.0985411400e-03	6.5756831235e+02	2.2584506661e+16	1.2100177077e+16	2.3142167725e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
28        	4         	ok              	7.1968567300e-04	6.4979483006e+02	1.4972637964e+16	8.0220041519e+15	2.3141984357e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
29        	4         	ok              	4.7148663600e-04	6.4337011927e+02	9.9068197365e+15	5.3079250002e+15	2.3141666874e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
30        	5         	ok              	3.0888436000e-04	6.3832350639e+02	6.5413922416e+15	3.5048655131e+15	2.3141099406e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
31        	6         	ok              	2.0235896500e-04	6.3453376316e+02	4.3108605515e+15	2.3098511317e+15	2.3140095042e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
32        	7         	ok              	1.3257113700e-04	6.3179202500e+02	2.8362187222e+15	1.5198163714e+15	2.3138422945e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
33        	8         	ok              	8.6851137400e-05	6.2986542804e+02	1.8635722214e+15	9.9872061808e+14	2.3135951712e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
34        	10        	ok              	5.6898660300e-05	6.2854064288e+02	1.2232885654e+15	6.5566945548e+14	2.3132848851e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
35        	11        	ok              	3.7275937200e-05	6.2764370727e+02	8.0244322102e+14	4.3016163023e+14	2.3129582601e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
36        	10        	ok              	2.4420530900e-05	6.2704297051e+02	5.2614067262e+14	2.8208115593e+14	2.3126662392e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
37        	9         	ok              	1.5998587200e-05	6.2664357509e+02	3.4487575390e+14	1.8491720412e+14	2.3124401264e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
38        	8         	ok              	1.0481131300e-05	6.2637935611e+02	2.2601831787e+14	1.2119564169e+14	2.3122872841e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
39        	6         	ok              	6.8664884500e-06	6.2620514132e+02	1.4810645276e+14	7.9420815448e+13	2.3121967890e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
40        	5         	ok              	4.4984326700e-06	6.2609052376e+02	9.7044535609e+13	5.2040369439e+13	2.3121492764e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
41        	5         	ok              	2.9470517000e-06	6.2601522520e+02	6.3583666852e+13	3.4097232892e+13	2.3121264855e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
42        	5         	ok              	1.9306977300e-06	6.2596580472e+02	4.1658578184e+13	2.2339834618e+13	2.3121161338e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
43        	5         	ok              	1.2648552200e-06	6.2593338911e+02	2.7293083693e+13	1.4636221578e+13	2.3121115644e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
44        	4         	ok              	8.2864277300e-07	6.2591213601e+02	1.7881070236e+13	9.5889322829e+12	2.3121095735e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
45        	4         	ok              	5.4286754400e-07	6.2589820533e+02	1.1714656091e+13	6.2821231867e+12	2.3121087097e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
46        	4         	ok              	3.5564803100e-07	6.2588907585e+02	7.6747164460e+12	4.1156583330e+12	2.3121083346e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
47        	4         	ok              	2.3299518100e-07	6.2588326563e+02	5.0279722221e+12	2.6963103310e+12	2.3121081707e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
48        	4         	ok              	1.5264179700e-07	6.2587963071e+02	3.2939872196e+12	1.7664401586e+12	2.3121080981e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
49        	4         	ok              	1.0000000000e-07	6.2587742122e+02	2.1579926769e+12	1.1572494751e+12	2.3121080652e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
