#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	S    	P    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
0         	3         	ok              	1.7133017700e+02	1.4562677795e+03	1.6916685585e+21	8.5213597365e+20	2.1692265035e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
1         	3         	ok              	1.1697915800e+02	1.3706102576e+03	1.2272143259e+21	6.1817407870e+20	2.1692427292e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
2         	3         	ok              	7.9869896200e+01	1.2690569936e+03	9.0496796078e+20	4.5584612797e+20	2.1692692401e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
3         	3         	ok              	5.4532793900e+01	1.1541324536e+03	6.7942003433e+20	3.4223023244e+20	2.1692944299e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
4         	3         	ok              	3.7233372600e+01	1.0282338113e+03	5.2069345792e+20	2.6227492574e+20	2.1693212620e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
5         	3         	ok              	2.5421841400e+01	8.9348607517e+02	4.0913581025e+20	2.0607983284e+20	2.1693544874e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
6         	3         	ok              	1.7357278600e+01	7.7588809792e+02	3.2168800330e+20	1.6203126455e+20	2.1693746858e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
7         	3         	ok              	1.1851034500e+01	6.7521093270e+02	2.5238902231e+20	1.2712561701e+20	2.1693813985e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
8         	3         	ok              	8.0915345100e+00	5.9070870019e+02	1.9697516351e+20	9.9214192103e+19	2.1693828064e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
9         	3         	ok              	5.5246595300e+00	5.2111822290e+02	1.5244853929e+20	7.6786617226e+19	2.1693831190e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
10        	3         	ok              	3.7720735100e+00	4.6477644033e+02	1.1642464895e+20	5.8783077503e+19	2.1536870576e+00	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
