#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	S    	P    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
0         	3         	ok              	1.1708718000e+02	7.6634225628e+02	2.1648724426e+21	1.1066310459e+21	2.1626052303e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
1         	3         	ok              	7.5259179200e+01	7.5510865693e+02	1.4121966848e+21	7.2188215334e+20	2.1626023434e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
2         	3         	ok              	4.8373733600e+01	7.4211842400e+02	9.2359290106e+20	4.7212029725e+20	2.1625975221e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
3         	3         	ok              	3.1092793300e+01	7.2718299662e+02	6.0584109895e+20	3.0969365046e+20	2.1625901327e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
4         	3         	ok              	1.9985263200e+01	7.1011177158e+02	3.9877123903e+20	2.0384470604e+20	2.1625799761e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
5         	3         	ok              	1.2845765900e+01	6.9497073284e+02	2.6189719357e+20	1.3387816915e+20	2.1625634912e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
6         	3         	ok              	8.2567690000e+00	6.8036952946e+02	1.7194823453e+20	8.7898518663e+19	2.1625390167e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
7         	3         	ok              	5.3071366000e+00	6.6509418933e+02	1.1305847938e+20	5.7795415382e+19	2.1625070766e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
8         	3         	ok              	3.4112252500e+00	6.4810228419e+02	7.4573724122e+19	3.8122653566e+19	2.1624720156e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
9         	3         	ok              	2.1926056500e+00	6.2852537519e+02	4.9425448907e+19	2.5267018007e+19	2.1624417587e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
10        	3         	ok              	1.4093233900e+00	6.0558722183e+02	3.2971879220e+19	1.6855833549e+19	2.1624259931e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
11        	3         	ok              	9.0585939300e-01	5.7862700267e+02	2.2180605395e+19	1.1339094428e+19	2.1624337469e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
12        	3         	ok              	5.8225191200e-01	5.4733578734e+02	1.5072160315e+19	7.7050126316e+18	2.1624692301e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
13        	3         	ok              	3.7424935000e-01	5.1203240023e+02	1.0356023830e+19	5.2939506520e+18	2.1625240159e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
14        	3         	ok              	2.4055322700e-01	4.7376091316e+02	7.1922994630e+18	3.6776317243e+18	2.1607226021e+00	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
15        	3         	ok              	1.5461845100e-01	4.3415860254e+02	5.0446827934e+18	2.5794622972e+18	2.1607482463e+00	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
16        	3         	ok              	9.9382850600e-02	3.9518655861e+02	3.5623104871e+18	1.8214848433e+18	2.1607558522e+00	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
17        	3         	ok              	6.3879510700e-02	3.5881673418e+02	2.5218059184e+18	1.2894519663e+18	2.1607572616e+00	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
18        	3         	ok              	4.1059316200e-02	3.2671202955e+02	1.7802024398e+18	9.1025456117e+17	2.1607574468e+00	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
19        	3         	ok              	2.6391364400e-02	2.9994051078e+02	1.2463772856e+18	6.3729864265e+17	2.1607574671e+00	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
20        	3         	ok              	1.6963363800e-02	2.7881968301e+02	8.6180965772e+17	4.4066121137e+17	2.1607574694e+00	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
21        	3         	ok              	1.0903404100e-02	2.6297545893e+02	5.8731311110e+17	3.0030541505e+17	2.1607574697e+00	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
22        	3         	ok              	7.0082928100e-03	2.5158438904e+02	3.9458742749e+17	2.0176453282e+17	2.1603343591e+00	fail 	ok   	ok   	ok   	ok   	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
23        	3         	ok              	4.5046636600e-03	2.4366463581e+02	2.6186928456e+17	1.3390171652e+17	2.1603343591e+00	fail 	ok   	ok   	ok   	ok   	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
24        	3         	ok              	2.8954262100e-03	2.3829377547e+02	1.7211332612e+17	8.8006769642e+16	2.1603343591e+00	fail 	ok   	ok   	ok   	ok   	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
25        	3         	ok              	1.8610696800e-03	2.3471539230e+02	1.1231448165e+17	5.7429804751e+16	2.1603343591e+00	fail 	ok   	ok   	ok   	ok   	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
26        	3         	ok              	1.1962247000e-03	2.3236013503e+02	7.2923220431e+16	3.7287856826e+16	2.1603343591e+00	fail 	ok   	ok   	ok   	ok   	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
27        	3         	ok              	7.6888766900e-04	2.3082257988e+02	4.7184493715e+16	2.4126864332e+16	2.1603343593e+00	fail 	ok   	ok   	ok   	ok   	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
28        	3         	ok              	4.9421170500e-04	2.2982426853e+02	3.0460135775e+16	1.5575192303e+16	2.1603343599e+00	fail 	ok   	ok   	ok   	ok   	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
29        	3         	ok              	3.1766045900e-04	2.2917838158e+02	1.9633792880e+16	1.0039354453e+16	2.1603343607e+00	fail 	ok   	ok   	ok   	ok   	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
30        	3         	ok              	2.0418004300e-04	2.2876147244e+02	1.2642853397e+16	6.4646748250e+15	2.1603343610e+00	fail 	ok   	ok   	ok   	ok   	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
31        	3         	ok              	1.3123915400e-04	2.2849276812e+02	8.1359010368e+15	4.1601332371e+15	2.1603343604e+00	fail 	ok   	ok   	ok   	ok   	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
32        	3         	ok              	8.4355529000e-05	2.2831975189e+02	5.2334100400e+15	2.6760014620e+15	2.1603343583e+00	fail 	ok   	ok   	ok   	ok   	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
33        	3         	ok              	5.4220520800e-05	2.2820841799e+02	3.3654777011e+15	1.7208709423e+15	2.1603343536e+00	fail 	ok   	ok   	ok   	ok   	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
34        	3         	ok              	3.4850885400e-05	2.2813680479e+02	2.1638798969e+15	1.1064575033e+15	2.1603343431e+00	fail 	ok   	ok   	ok   	ok   	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
35        	3         	ok              	2.2400821600e-05	2.2809075304e+02	1.3911403718e+15	7.1133232584e+14	2.1603343185e+00	fail 	ok   	ok   	ok   	ok   	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
36        	3         	ok              	1.4398394900e-05	2.2806114384e+02	8.9428811010e+14	4.5727668569e+14	2.1603342599e+00	fail 	ok   	ok   	ok   	ok   	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
37        	3         	ok              	9.2547397500e-06	2.2804210849e+02	5.7486227417e+14	2.9394456846e+14	2.1603341188e+00	fail 	ok   	ok   	ok   	ok   	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
38        	3         	ok              	5.9485941800e-06	2.2802987178e+02	3.6951934239e+14	1.8894651053e+14	2.1603337787e+00	fail 	ok   	ok   	ok   	ok   	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
39        	3         	ok              	3.8235297500e-06	2.2802200586e+02	2.3752106102e+14	1.2145180927e+14	2.1603329585e+00	fail 	ok   	ok   	ok   	ok   	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
40        	3         	ok              	2.4576192800e-06	2.2801694969e+02	1.5267273661e+14	7.8066327784e+13	2.1603309874e+00	fail 	ok   	ok   	ok   	ok   	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
41        	3         	ok              	1.5796640600e-06	2.2801369966e+02	9.8133405038e+13	5.0178777096e+13	2.1603262908e+00	fail 	ok   	ok   	ok   	ok   	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
42        	3         	ok              	1.0153478800e-06	2.2801161063e+02	6.3076672159e+13	3.2253301842e+13	2.1603153283e+00	fail 	ok   	ok   	ok   	ok   	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
43        	3         	ok              	6.5262694400e-07	2.2801026786e+02	4.0543062603e+13	2.0731316026e+13	2.1602908968e+00	fail 	ok   	ok   	ok   	ok   	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
44        	3         	ok              	4.1948374000e-07	2.2800940477e+02	2.6059037016e+13	1.3325350693e+13	2.1602413305e+00	fail 	ok   	ok   	ok   	ok   	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
45        	3         	ok              	2.6962816900e-07	2.2800886464e+02	1.6749132412e+13	8.5650481229e+12	2.1601557435e+00	fail 	ok   	ok   	ok   	ok   	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
46        	3         	ok              	1.7330671600e-07	2.2800853211e+02	1.0765127530e+13	5.5052946912e+12	2.1600368667e+00	fail 	ok   	ok   	ok   	ok   	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
47        	3         	ok              	1.1139495600e-07	2.2800833301e+02	6.9189976945e+12	3.5385968274e+12	2.1599050393e+00	fail 	ok   	ok   	ok   	ok   	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
